id	name	type
0	/person/2663	person
1	/person/1702	person
2	/company/425	company
3	/person/4348	person
4	/person/1344	person
5	/person/1165	person
6	/city/1865	city
7	/company/514	company
8	/person/856	person
9	/person/4838	person
10	/person/2740	person
11	/person/4191	person
12	/person/363	person
13	/person/2733	person
14	/city/2932	city
15	/city/646	city
16	/person/300	person
17	/city/946	city
18	/person/879	person
19	/person/4005	person
20	/person/1467	person
21	/person/2468	person
22	/person/3108	person
23	/person/1517	person
24	/person/4074	person
25	/company/305	company
26	/person/2833	person
27	/city/2063	city
28	/person/153	person
29	/person/3728	person
30	/person/446	person
31	/person/254	person
32	/company/392	company
33	/city/3201	city
34	/person/3381	person
35	/city/641	city
36	/city/1508	city
37	/city/4646	city
38	/city/4318	city
39	/person/869	person
40	/person/4985	person
41	/city/506	city
42	/city/3562	city
43	/city/1533	city
44	/person/3210	person
45	/city/2414	city
46	/person/1162	person
47	/city/3825	city
48	/person/1188	person
49	/city/974	city
50	/city/4723	city
51	/city/253	city
52	/city/2707	city
53	/person/2432	person
54	/city/2495	city
55	/city/1977	city
56	/person/2566	person
57	/city/2777	city
58	/person/746	person
59	/company/533	company
60	/person/3013	person
61	/city/2557	city
62	/city/3224	city
63	/city/842	city
64	/city/1510	city
65	/city/288	city
66	/city/3970	city
67	/person/1872	person
68	/person/4624	person
69	/city/1833	city
70	/person/663	person
71	/person/2864	person
72	/city/4280	city
73	/company/954	company
74	/person/4427	person
75	/person/3179	person
76	/city/1701	city
77	/city/4630	city
78	/city/2997	city
79	/city/1490	city
80	/person/1052	person
81	/person/2909	person
82	/person/781	person
83	/person/1748	person
84	/person/1800	person
85	/city/4334	city
86	/person/665	person
87	/person/352	person
88	/city/879	city
89	/city/4848	city
90	/person/6	person
91	/person/845	person
92	/city/2869	city
93	/city/4125	city
94	/city/629	city
95	/person/4320	person
96	/person/394	person
97	/city/4477	city
98	/person/2261	person
99	/city/1901	city
100	/city/910	city
101	/person/410	person
102	/company/50	company
103	/person/2300	person
104	/person/1787	person
105	/person/274	person
106	/person/2281	person
107	/city/1265	city
108	/person/476	person
109	/city/853	city
110	/city/2880	city
111	/person/2057	person
112	/company/932	company
113	/person/4495	person
114	/person/45	person
115	/person/2964	person
116	/city/3216	city
117	/city/828	city
118	/city/2735	city
119	/city/719	city
120	/person/4598	person
121	/city/2809	city
122	/person/3734	person
123	/city/1157	city
124	/city/4961	city
125	/person/321	person
126	/city/1306	city
127	/city/3433	city
128	/person/356	person
129	/city/4887	city
130	/person/3016	person
131	/company/135	company
132	/person/4755	person
133	/company/827	company
134	/city/1111	city
135	/person/4335	person
136	/city/341	city
